Date,District,Rainfall_mm,Groundwater_Level_mbgl,Reservoir_Level_pct,Extraction Borewells,Recharge Borewells,Groundwater Stress Classification,Net Groundwater Change MLD,Groundwater Recovery MLD,Groundwater Extraction MLD
1/1/2020,Rajkot,0,15.75,45.4,385,26,Warning,-44.9,1.3,46.2
1/2/2020,Rajkot,0,14.37,35.5,385,26,Warning,-44.9,1.3,46.2
1/3/2020,Rajkot,0,15.43,41.6,385,26,Warning,-44.9,1.3,46.2
1/4/2020,Rajkot,0,14.97,40,385,26,Warning,-44.9,1.3,46.2
1/5/2020,Rajkot,0,15.29,39.4,385,26,Warning,-44.9,1.3,46.2
1/6/2020,Rajkot,0,14.79,41.2,385,26,Warning,-44.9,1.3,46.2
1/7/2020,Rajkot,0,15.29,45.1,385,26,Warning,-44.9,1.3,46.2
1/8/2020,Rajkot,0,15.05,37.9,385,26,Warning,-44.9,1.3,46.2
1/9/2020,Rajkot,0,15.46,47.4,385,26,Warning,-44.9,1.3,46.2
1/10/2020,Rajkot,0,16.37,49.2,385,26,Warning,-44.9,1.3,46.2
1/11/2020,Rajkot,0,16.01,42.1,385,26,Warning,-44.9,1.3,46.2
1/12/2020,Rajkot,0.5,16.28,32.7,385,26,Warning,-44.85,1.35,46.2
1/13/2020,Rajkot,0,16.71,41.6,385,26,Warning,-44.9,1.3,46.2
1/14/2020,Rajkot,0,16.36,37.8,385,26,Warning,-44.9,1.3,46.2
1/15/2020,Rajkot,0,16.14,39.2,385,26,Warning,-44.9,1.3,46.2
1/16/2020,Rajkot,0,16.6,33.9,385,26,Warning,-44.9,1.3,46.2
1/17/2020,Rajkot,0,16.6,42,385,26,Warning,-44.9,1.3,46.2
1/18/2020,Rajkot,0,15.85,31.4,385,26,Warning,-44.9,1.3,46.2
1/19/2020,Rajkot,0,16.9,35.8,385,26,Warning,-44.9,1.3,46.2
1/20/2020,Rajkot,0,17.36,38.1,385,26,Warning,-44.9,1.3,46.2
1/21/2020,Rajkot,0,17.26,39,385,26,Warning,-44.9,1.3,46.2
1/22/2020,Rajkot,0,16.81,38.8,385,26,Warning,-44.9,1.3,46.2
1/23/2020,Rajkot,0,17.91,42.2,385,26,Warning,-44.9,1.3,46.2
1/24/2020,Rajkot,0,17.65,40.5,385,26,Warning,-44.9,1.3,46.2
1/25/2020,Rajkot,0,16.42,31.5,385,26,Warning,-44.9,1.3,46.2
1/26/2020,Rajkot,0,16.73,41.6,385,26,Warning,-44.9,1.3,46.2
1/27/2020,Rajkot,0,16.9,36.9,385,26,Warning,-44.9,1.3,46.2
1/28/2020,Rajkot,0,17.52,34.2,385,26,Warning,-44.9,1.3,46.2
1/29/2020,Rajkot,0,17.26,42.8,385,26,Warning,-44.9,1.3,46.2
1/30/2020,Rajkot,0,16.86,45.6,385,26,Warning,-44.9,1.3,46.2
1/31/2020,Rajkot,0,17.79,39.6,385,26,Warning,-44.9,1.3,46.2
2/1/2020,Rajkot,0,18.01,33.6,385,26,Warning,-44.9,1.3,46.2
